model,task_id,task_name,domain,score,passed,assertions_total,assertions_passed,input_tokens,output_tokens,num_tool_calls,num_model_calls,steps,model_time_s
base,208,operations.drive_slack_dock_schedule,operations,1.0,1,5,5,370721,9755,55,24,24,255.82
base,209,operations.notion_gmail_checklist_update,operations,0.75,0,4,3,41259,2701,13,7,7,69.26
base,210,marketing.event_followup_personalization,marketing,0.5,0,12,6,120613,10991,33,12,12,248.81
base,211,operations.pipefy_gmail_vendor_approval,operations,1.0,1,10,10,77572,5903,31,12,12,136.14
base,212,marketing.partner_commission_calculation,marketing,0.0,0,20,0,1437916,11202,95,50,50,254.53
base,213,operations.asana_basecamp_move_planning,operations,0.75,0,4,3,309131,7033,30,23,23,175.28
base,214,operations.monday_calendar_emergency_drill,operations,0.5,0,4,2,225214,5645,35,20,20,140.28
base,215,operations.drive_notion_lease_archive,operations,0.5,0,4,2,303963,7324,46,18,18,180.3
base,216,operations.calendar_slack_training,operations,1.0,1,5,5,122447,3833,18,12,12,138.58
base,217,operations.sheets_asana_approved_request,operations,0.5,0,6,3,344364,4070,28,22,22,100.55
base,218,operations.sheets_monday_maintenance_queue,operations,0.0,0,3,0,1053380,13904,106,50,50,296.57
base,219,operations.pipefy_slack_purchase_request,operations,0.0,0,4,0,1075086,14318,52,50,50,300.72
base,220,operations.airtable_gmail_visitor_followup,operations,1.0,1,3,3,88585,2776,19,14,14,63.04
base,221,operations.notion_slack_playbook,operations,0.3333333333333333,0,3,1,403543,5063,31,20,20,116.11
base,222,operations.asana_slack_sheets_audit,operations,0.8,0,5,4,370790,4300,34,22,22,101.45
base,223,operations.calendar_airtable_gmail_maintenance_notice,operations,1.0,1,5,5,176361,5239,29,16,16,133.58
base,224,operations.trello_basecamp_slack_compliance_followup,operations,0.2,0,5,1,77102,2529,17,10,10,63.46
base,225,operations.salesforce_escalated_customer,operations,0.5714285714285714,0,14,8,445162,8348,52,21,21,193.61
base,226,operations.twilio_afterhours_incident,operations,0.0,0,7,0,111679,6646,18,11,11,166.3
base,227,operations.calendly_equipment_inspection,operations,0.8333333333333334,0,6,5,84518,4821,21,8,8,119.72
base,228,operations.zoom_change_advisory,operations,0.75,0,4,3,55245,3429,16,7,7,91.07
base,229,operations.docusign_lease_renewal,operations,0.75,0,4,3,144446,6595,21,14,14,153.32
base,230,operations.zoom_dr_drill,operations,0.14285714285714285,0,7,1,314234,8716,35,17,17,194.92
base,231,operations.docusign_contractor_offboard,operations,0.6,0,5,3,99846,4509,20,9,9,115.18
base,232,operations.zoom_training_setup,operations,0.75,0,4,3,189705,4157,24,16,16,104.98
base,233,operations.zoom_board_meeting,operations,0.625,0,8,5,173641,4848,25,12,12,116.27
base,234,operations.twilio_facilities_emergency,operations,0.9,0,10,9,272682,9255,28,15,15,205.46
base,235,operations.zoom_deal_review,operations,0.75,0,4,3,326423,9577,41,25,25,212.7
base,236,operations.twilio_production_incident,operations,0.8333333333333334,0,6,5,174200,6101,27,13,13,130.71
base,237,operations.docusign_prospect_nda,operations,0.8,0,5,4,129232,4505,22,13,13,101.7
base,238,operations.zoom_project_kickoff,operations,0.8,0,5,4,113565,4438,22,10,10,103.41
base,239,operations.docusign_annual_review,operations,0.1111111111111111,0,9,1,346832,5764,53,16,16,140.06
base,240,operations.hubspot_ticket_escalation,operations,0.09090909090909091,0,11,1,110174,3984,26,11,11,92.63
base,241,operations.mailchimp_subscriber_sync,operations,0.3,0,10,3,135129,5936,24,11,11,135.07
base,242,operations.chatgpt_feedback_analysis,operations,0.9166666666666666,0,12,11,99519,7968,47,11,11,189.39
base,243,operations.hubspot_lead_qualification,operations,0.7692307692307693,0,13,10,169083,9124,38,16,16,208.25
base,244,operations.mailchimp_campaign_tracking,operations,0.5,0,4,2,225952,7390,26,18,18,173.33
base,245,operations.google_ads_budget_alert,operations,0.75,0,8,6,122599,6146,17,13,13,155.94
base,246,operations.canva_asset_management,operations,1.0,1,5,5,282901,4751,31,16,16,119.63
base,247,operations.hubspot_personalized_outreach,operations,0.75,0,8,6,180090,13216,42,13,13,282.98
base,248,operations.linkedin_job_change,operations,1.0,1,6,6,739359,13980,102,34,34,335.08
base,249,operations.hubspot_churn_prediction,operations,0.4444444444444444,0,9,4,597872,9614,52,28,28,224.83
base,250,operations.hubspot_payment_failure,operations,0.6666666666666666,0,6,4,892238,15646,63,36,36,340.46
base,251,operations.mailchimp_ecommerce_sync,operations,1.0,1,6,6,361932,5304,42,22,22,124.29
base,252,operations.facebook_roas_monitoring,operations,0.6666666666666666,0,9,6,161461,5674,23,14,14,127.53
base,253,operations.hubspot_mailchimp_sync,operations,0.7777777777777778,0,9,7,93345,4476,20,12,12,109.44
base,254,operations.linkedin_abm_outreach,operations,0.5,0,6,3,303535,7704,45,19,19,170.76
base,255,operations.buffer_engagement_optimization,operations,0.125,0,8,1,1468583,12607,99,50,50,254.04
base,256,operations.insurance_cert_validation,operations,0.7777777777777778,0,9,7,107170,14039,23,11,11,309.19
base,257,operations.sensor_monitoring_alert,operations,0.8333333333333334,0,6,5,109871,6208,23,11,11,137.59
base,258,operations.access_request_validation,operations,1.0,1,7,7,207315,8298,27,21,21,191.44
base,259,operations.invoice_shipping_trigger,operations,0.42857142857142855,0,7,3,35735,4365,8,7,7,106.03
base,260,operations.inventory_enrichment,operations,0.0,0,7,0,2071107,13389,88,50,50,281.27
base,261,operations.overdue_inspection_summary,operations,0.6666666666666666,0,6,4,448283,10423,29,25,25,222.75
base,262,operations.housekeeping_schedule,operations,0.7777777777777778,0,9,7,72298,5358,19,11,11,115.31
base,263,operations.vendor_compliance_audit,operations,0.3076923076923077,0,13,4,117447,7226,19,13,13,188.54
base,264,operations.facility_incident_triage,operations,0.0,0,5,0,1126647,13912,74,50,50,284.84
base,265,operations.equipment_lease_processing,operations,0.625,0,8,5,269430,8448,29,18,18,196.63
base,266,operations.contractor_onboarding_workflow,operations,0.8333333333333334,0,6,5,215422,5437,27,17,17,136.37
base,267,operations.safety_certification_gap_analysis,operations,0.6666666666666666,0,9,6,58140,7453,18,8,8,153.47
base,268,operations.server_capacity_threshold_alerts,operations,0.0,0,9,0,589677,10291,64,39,39,273.31
base,269,operations.fleet_vehicle_maintenance,operations,0.6153846153846154,0,13,8,171158,10777,28,16,16,235.89
base,270,operations.energy_consumption_anomaly,operations,0.5,0,8,4,105287,8194,15,12,12,169.52
base,271,operations.sla_breach_early_warning,operations,0.14285714285714285,0,7,1,81461,9171,12,10,10,204.29
base,272,operations.role_based_access_audit,operations,1.0,1,10,10,100993,9697,23,14,14,201.0
base,273,operations.contractor_badge_expiration,operations,0.7692307692307693,0,13,10,121588,8328,30,12,12,179.78
base,274,operations.training_compliance_check,operations,0.5,0,6,3,128355,6215,15,14,14,147.9
base,275,operations.purchase_order_three_way_match,operations,0.3333333333333333,0,6,2,106103,6908,18,12,12,150.8
base,276,operations.perishable_inventory_expiry,operations,0.35714285714285715,0,14,5,1932196,11735,64,50,50,247.05
base,277,operations.fire_extinguisher_inspection_schedule,operations,0.75,0,8,6,52476,7399,12,8,8,157.71
base,278,operations.equipment_calibration_scheduling,operations,1.0,1,8,8,216184,9504,24,18,18,195.19
base,279,operations.overtime_threshold_monitoring,operations,0.875,0,8,7,352827,11187,46,24,24,227.94
base,280,operations.holiday_coverage_planning,operations,1.0,1,8,8,225898,8778,33,18,18,180.12
base,281,operations.contract_renewal_pipeline,operations,0.9,0,10,9,89549,6976,17,11,11,150.26
base,282,operations.utility_cost_allocation,operations,0.4444444444444444,0,9,4,64326,4687,12,9,9,107.8
base,283,operations.conference_room_booking_conflicts,operations,0.75,0,12,9,42499,10854,13,6,6,218.68
